Country/Region,Province/State,Confirmed,Recovered,Deaths,Date
India,Maharashtra,139010,69631,6531,6/23/2020
India,Manipur,921,258,0,6/23/2020
India,Meghalaya,46,37,1,6/23/2020
India,Mizoram,142,9,0,6/23/2020
India,Nagaland,330,141,0,6/23/2020
India,Odisha,5470,3988,17,6/23/2020
India,Puducherry,402,165,9,6/23/2020
India,Punjab,4397,3047,105,6/23/2020
India,Rajasthan,15627,12213,365,6/23/2020
India,Sikkim,79,29,0,6/23/2020
India,Tamil Nadu,64603,35339,833,6/23/2020
India,Telangana,9553,4224,220,6/23/2020
India,Tripura,1259,807,1,6/23/2020
India,Unknown,8141,0,0,6/23/2020
India,Uttar Pradesh,18893,12116,588,6/23/2020
India,Uttarakhand,2535,1602,30,6/23/2020
India,West Bengal,14728,9218,580,6/23/2020
India,Andaman and Nicobar Islands,56,43,0,6/24/2020
India,Andhra Pradesh,10331,4779,124,6/24/2020
India,Arunachal Pradesh,158,38,0,6/24/2020
India,Assam,6198,3958,9,6/24/2020
India,Bihar,8209,6113,57,6/24/2020
India,Chandigarh,420,323,6,6/24/2020
India,Chhattisgarh,2419,1627,12,6/24/2020
India,Dadra and Nagar Haveli and Daman and Diu,120,30,0,6/24/2020
India,Delhi,70390,41437,2365,6/24/2020
India,Goa,951,289,2,6/24/2020
India,Gujarat,28943,21088,1735,6/24/2020
India,Haryana,12010,6925,188,6/24/2020
India,Himachal Pradesh,806,466,8,6/24/2020
India,Jammu and Kashmir,6422,3818,88,6/24/2020
India,Jharkhand,2207,1570,11,6/24/2020
India,Karnataka,10118,6151,164,6/24/2020
India,Kerala,3603,1888,22,6/24/2020
India,Ladakh,941,274,1,6/24/2020
India,Madhya Pradesh,12448,9473,534,6/24/2020
India,Maharashtra,142900,73792,6739,6/24/2020
India,Manipur,970,328,0,6/24/2020
India,Meghalaya,46,42,1,6/24/2020
India,Mizoram,142,19,0,6/24/2020
India,Nagaland,347,148,0,6/24/2020
India,Odisha,5752,4123,17,6/24/2020
India,Puducherry,461,176,9,6/24/2020
India,Punjab,4627,3099,113,6/24/2020
India,Rajasthan,16009,12611,375,6/24/2020
India,Sikkim,84,39,0,6/24/2020
India,Tamil Nadu,67468,37763,866,6/24/2020
India,Telangana,10444,4361,225,6/24/2020
India,Tripura,1259,897,1,6/24/2020
India,Unknown,8493,0,0,6/24/2020
India,Uttar Pradesh,19557,12586,596,6/24/2020
India,Uttarakhand,2623,1721,35,6/24/2020
India,West Bengal,15173,9702,591,6/24/2020
India,Andaman and Nicobar Islands,59,43,0,6/25/2020
India,Andhra Pradesh,10884,4988,136,6/25/2020
India,Arunachal Pradesh,160,38,1,6/25/2020
India,Assam,6321,4033,9,6/25/2020
India,Bihar,8473,6441,57,6/25/2020
India,Chandigarh,423,329,6,6/25/2020
India,Chhattisgarh,2452,1755,12,6/25/2020
India,Dadra and Nagar Haveli and Daman and Diu,155,32,0,6/25/2020
India,Delhi,73780,44765,2429,6/25/2020
India,Goa,995,335,2,6/25/2020
India,Gujarat,29520,21498,1753,6/25/2020
India,Haryana,12463,7380,198,6/25/2020
India,Himachal Pradesh,839,477,9,6/25/2020
India,Jammu and Kashmir,6549,3967,90,6/25/2020
India,Jharkhand,2262,1605,12,6/25/2020
India,Karnataka,10560,6670,170,6/25/2020
India,Kerala,3726,1943,22,6/25/2020
India,Ladakh,941,358,1,6/25/2020
India,Madhya Pradesh,12596,9619,542,6/25/2020
India,Maharashtra,147741,77453,6931,6/25/2020
India,Manipur,1056,354,0,6/25/2020
India,Meghalaya,46,42,1,6/25/2020
India,Mizoram,145,30,0,6/25/2020
India,Nagaland,355,160,0,6/25/2020
India,Odisha,5962,4291,17,6/25/2020
India,Puducherry,502,187,9,6/25/2020
India,Punjab,4769,3192,120,6/25/2020
India,Rajasthan,16296,12840,379,6/25/2020
India,Sikkim,85,39,0,6/25/2020
India,Tamil Nadu,70977,39999,911,6/25/2020
India,Telangana,11364,4688,230,6/25/2020
India,Tripura,1290,1019,1,6/25/2020
India,Unknown,8123,0,0,6/25/2020
India,Uttar Pradesh,20193,13119,611,6/25/2020
India,Uttarakhand,2691,1758,36,6/25/2020
India,West Bengal,15648,10190,606,6/25/2020
India,Andaman and Nicobar Islands,72,43,0,6/26/2020
